Path_id	Path_description	Path_category	Path_type
hsa00472	D-Arginine and D-ornithine metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00480	Glutathione metabolism - Homo sapiens (human)	Metabolism; Metabolism of other amino acids	metabolic
hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00510	N-Glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00511	Other glycan degradation - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	metabolic
hsa00531	Glycosaminoglycan degradation - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00561	Glycerolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00562	Inositol phosphate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00565	Ether lipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00590	Arachidonic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00591	Linoleic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00600	Sphingolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00604	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	metabolic
hsa00620	Pyruvate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00640	Propanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00650	Butanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	metabolic
hsa00670	One carbon pool by folate - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00730	Thiamine metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00740	Riboflavin metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00750	Vitamin B6 metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00770	Pantothenate and CoA biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00780	Biotin metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00785	Lipoic acid metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00790	Folate biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00830	Retinol metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00860	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	metabolic
hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of terpenoids and polyketides	metabolic
hsa00910	Nitrogen metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	metabolic
hsa00920	Sulfur metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	metabolic
hsa00980	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	metabolic
hsa00982	Drug metabolism - cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	metabolic
hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	metabolic
hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	Metabolism; Lipid metabolism	metabolic
hsa01521	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	Human Diseases; Drug resistance: antineoplastic	signaling
hsa01522	Endocrine resistance - Homo sapiens (human)	Human Diseases; Drug resistance: antineoplastic	signaling
hsa01523	Antifolate resistance - Homo sapiens (human)	Human Diseases; Drug resistance: antineoplastic	signaling
hsa01524	Platinum drug resistance - Homo sapiens (human)	Human Diseases; Drug resistance: antineoplastic	signaling
hsa02010	ABC transporters - Homo sapiens (human)	Environmental Information Processing; Membrane transport	signaling
hsa03320	PPAR signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04010	MAPK signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04012	ErbB signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04014	Ras signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04015	Rap1 signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04020	Calcium signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04024	cAMP signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)	Environmental Information Processing; Signaling molecules and interaction	signaling
hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)	Environmental Information Processing; Signaling molecules and interaction	signaling
hsa04062	Chemokine signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04066	HIF-1 signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04068	FoxO signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04070	Phosphatidylinositol signaling system - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	Environmental Information Processing; Signaling molecules and interaction	signaling
hsa04110	Cell cycle - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04114	Oocyte meiosis - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04115	p53 signaling pathway - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04136	Autophagy - other - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04137	Mitophagy - animal - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04140	Autophagy - animal - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04142	Lysosome - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04144	Endocytosis - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04145	Phagosome - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04146	Peroxisome - Homo sapiens (human)	Cellular Processes; Transport and catabolism	signaling
hsa04150	mTOR signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04152	AMPK signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04210	Apoptosis - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04211	Longevity regulating pathway - Homo sapiens (human)	Organismal Systems; Aging	signaling
hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)	Organismal Systems; Aging	signaling
hsa04215	Apoptosis - multiple species - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04216	Ferroptosis - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04217	Necroptosis - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04218	Cellular senescence - Homo sapiens (human)	Cellular Processes; Cell growth and death	signaling
hsa04260	Cardiac muscle contraction - Homo sapiens (human)	Organismal Systems; Circulatory system	signaling
hsa04261	Adrenergic signaling in cardiomyocytes - Homo sapiens (human)	Organismal Systems; Circulatory system	signaling
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	Organismal Systems; Circulatory system	signaling
hsa04310	Wnt signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04330	Notch signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04340	Hedgehog signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04350	TGF-beta signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04360	Axon guidance - Homo sapiens (human)	Organismal Systems; Development and regeneration	signaling
hsa04370	VEGF signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04371	Apelin signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04380	Osteoclast differentiation - Homo sapiens (human)	Organismal Systems; Development and regeneration	signaling
hsa04390	Hippo signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04392	Hippo signaling pathway - multiple species - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04510	Focal adhesion - Homo sapiens (human)	Cellular Processes; Cellular community - eukaryotes	signaling
hsa04512	ECM-receptor interaction - Homo sapiens (human)	Environmental Information Processing; Signaling molecules and interaction	signaling
hsa04514	Cell adhesion molecules - Homo sapiens (human)	Environmental Information Processing; Signaling molecules and interaction	signaling
hsa04520	Adherens junction - Homo sapiens (human)	Cellular Processes; Cellular community - eukaryotes	signaling
hsa04530	Tight junction - Homo sapiens (human)	Cellular Processes; Cellular community - eukaryotes	signaling
hsa04540	Gap junction - Homo sapiens (human)	Cellular Processes; Cellular community - eukaryotes	signaling
hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	Cellular Processes; Cellular community - eukaryotes	signaling
hsa04610	Complement and coagulation cascades - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04611	Platelet activation - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04612	Antigen processing and presentation - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04614	Renin-angiotensin system - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04620	Toll-like receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04621	NOD-like receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04622	RIG-I-like receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04623	Cytosolic DNA-sensing pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04630	JAK-STAT signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04657	IL-17 signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04659	Th17 cell differentiation - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04660	T cell receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04662	B cell receptor signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04664	Fc epsilon RI signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04668	TNF signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	signaling
hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04672	Intestinal immune network for IgA production - Homo sapiens (human)	Organismal Systems; Immune system	signaling
hsa04710	Circadian rhythm - Homo sapiens (human)	Organismal Systems; Environmental adaptation	signaling
hsa04713	Circadian entrainment - Homo sapiens (human)	Organismal Systems; Environmental adaptation	signaling
hsa04714	Thermogenesis - Homo sapiens (human)	Organismal Systems; Environmental adaptation	signaling
hsa04720	Long-term potentiation - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04721	Synaptic vesicle cycle - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04724	Glutamatergic synapse - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04725	Cholinergic synapse - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04726	Serotonergic synapse - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04727	GABAergic synapse - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04728	Dopaminergic synapse - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04730	Long-term depression - Homo sapiens (human)	Organismal Systems; Nervous system	signaling
hsa04740	Olfactory transduction - Homo sapiens (human)	Organismal Systems; Sensory system	signaling
hsa04742	Taste transduction - Homo sapiens (human)	Organismal Systems; Sensory system	signaling
hsa04744	Phototransduction - Homo sapiens (human)	Organismal Systems; Sensory system	signaling
hsa04750	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	Organismal Systems; Sensory system	signaling
hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)	Cellular Processes; Cell motility	signaling
hsa04910	Insulin signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04911	Insulin secretion - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04912	GnRH signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04913	Ovarian steroidogenesis - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04915	Estrogen signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04916	Melanogenesis - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04917	Prolactin signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04918	Thyroid hormone synthesis - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04921	Oxytocin signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04922	Glucagon signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04924	Renin secretion - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04926	Relaxin signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04927	Cortisol synthesis and secretion - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04928	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04929	GnRH secretion - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04930	Type II diabetes mellitus - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04931	Insulin resistance - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04934	Cushing syndrome - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	Organismal Systems; Endocrine system	signaling
hsa04940	Type I diabetes mellitus - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04950	Maturity onset diabetes of the young - Homo sapiens (human)	Human Diseases; Endocrine and metabolic disease	signaling
hsa04960	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	Organismal Systems; Excretory system	signaling
hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	Organismal Systems; Excretory system	signaling
hsa04962	Vasopressin-regulated water reabsorption - Homo sapiens (human)	Organismal Systems; Excretory system	signaling
hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	Organismal Systems; Excretory system	signaling
hsa04966	Collecting duct acid secretion - Homo sapiens (human)	Organismal Systems; Excretory system	signaling
hsa04970	Salivary secretion - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04971	Gastric acid secretion - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04972	Pancreatic secretion - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04974	Protein digestion and absorption - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04975	Fat digestion and absorption - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04976	Bile secretion - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04977	Vitamin digestion and absorption - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04978	Mineral absorption - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa04979	Cholesterol metabolism - Homo sapiens (human)	Organismal Systems; Digestive system	signaling
hsa05010	Alzheimer disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05012	Parkinson disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05016	Huntington disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05017	Spinocerebellar ataxia - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05020	Prion disease - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	Human Diseases; Neurodegenerative disease	signaling
hsa05030	Cocaine addiction - Homo sapiens (human)	Human Diseases; Substance dependence	signaling
hsa05031	Amphetamine addiction - Homo sapiens (human)	Human Diseases; Substance dependence	signaling
hsa05032	Morphine addiction - Homo sapiens (human)	Human Diseases; Substance dependence	signaling
hsa05033	Nicotine addiction - Homo sapiens (human)	Human Diseases; Substance dependence	signaling
hsa05034	Alcoholism - Homo sapiens (human)	Human Diseases; Substance dependence	signaling
hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05110	Vibrio cholerae infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05131	Shigellosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05132	Salmonella infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05133	Pertussis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05134	Legionellosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05135	Yersinia infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05140	Leishmaniasis - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05142	Chagas disease - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05143	African trypanosomiasis - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05144	Malaria - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05145	Toxoplasmosis - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05146	Amoebiasis - Homo sapiens (human)	Human Diseases; Infectious disease: parasitic	signaling
hsa05150	Staphylococcus aureus infection - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05152	Tuberculosis - Homo sapiens (human)	Human Diseases; Infectious disease: bacterial	signaling
hsa05160	Hepatitis C - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05161	Hepatitis B - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05162	Measles - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05163	Human cytomegalovirus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05164	Influenza A - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05165	Human papillomavirus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05168	Herpes simplex virus 1 infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
hsa05169	Epstein-Barr virus infection - Homo sapiens (human)	Human Diseases; Infectious disease: viral	signaling
